price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_surface_house,bathrooms,heating_type,terrace_surface_apartment,land_surface_house,sewer_connection,running_water,primary_energy_consumption,co2_house,certification_electrical_installation,preemption_right,flooding_area_type,leased,living_room_surface,attic_house,glazing_type,elevator,entry_phone_apartment,access_disabled,apartement_floor_apartment,number_floors_apartment,toilets,cadastral_income_house,property_subtype,postal_code,locality,property_type,price_per_m2,cluster,luxury_segment,is_luxurious
269000.0,1.0,51.0,-1,-1.0,0,1,0,-1,-1,1968.0,1,1,-1.0,1.0,-1,-1.0,-1.0,-1,-1,184.0,-1.0,-1,0,0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,apartment,2600,berchem,Apartment,5274.509803921569,1.0,0,False
299000.0,2.0,79.0,2,2.0,0,1,0,-1,-1,2011.0,-1,1,-1.0,1.0,5,5.0,-1.0,-1,1,100.0,-1.0,1,1,1,0,22.0,-1.0,-1,1.0,-1.0,-1,2.0,-1.0,1.0,-1.0,apartment,2050,antwerp,Apartment,3784.8101265822784,1.0,0,False
359000.0,3.0,110.0,-1,-1.0,0,1,0,-1,-1,-1.0,-1,1,-1.0,1.0,3,-1.0,-1.0,-1,1,-1.0,-1.0,-1,-1,0,0,-1.0,-1.0,-1,0.0,-1.0,-1,2.0,-1.0,1.0,-1.0,apartment,2610,wilrijk,Apartment,3263.6363636363635,1.0,0,False
239000.0,2.0,84.0,2,2.0,0,1,0,-1,-1,1963.0,-1,-1,-1.0,1.0,3,-1.0,-1.0,-1,1,163.0,-1.0,0,1,-1,0,-1.0,-1.0,-1,1.0,-1.0,-1,5.0,-1.0,-1.0,-1.0,apartment,2060,antwerp,Apartment,2845.2380952380954,1.0,0,False
189000.0,2.0,80.0,2,2.0,0,0,0,-1,-1,1930.0,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1,-1,149.0,-1.0,1,0,1,0,-1.0,-1.0,-1,0.0,-1.0,-1,1.0,-1.0,-1.0,-1.0,apartment,2610,wilrijk,Apartment,2362.5,1.0,0,False
269000.0,2.0,96.0,2,-1.0,0,1,0,-1,-1,1974.0,-1,-1,-1.0,1.0,3,10.0,-1.0,-1,1,113.0,-1.0,1,-1,0,0,37.0,-1.0,-1,0.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,apartment,2018,antwerp,Apartment,2802.0833333333335,1.0,0,False
224000.0,2.0,86.0,2,2.0,0,1,0,-1,-1,1977.0,-1,-1,-1.0,1.0,3,-1.0,-1.0,-1,1,155.0,-1.0,0,0,1,0,-1.0,-1.0,-1,1.0,-1.0,-1,1.0,3.0,1.0,949.0,apartment,2100,deurne,Apartment,2604.6511627906975,1.0,0,False
217000.0,2.0,78.0,2,2.0,0,1,0,-1,-1,2017.0,-1,-1,-1.0,1.0,3,9.0,-1.0,-1,-1,48.0,-1.0,1,0,1,0,-1.0,-1.0,-1,1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,apartment,2140,borgerhout,Apartment,2782.051282051282,1.0,0,False
269000.0,2.0,96.0,2,-1.0,0,1,0,-1,-1,1974.0,-1,-1,-1.0,1.0,3,10.0,-1.0,-1,1,113.0,-1.0,1,-1,0,0,37.0,-1.0,-1,0.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,apartment,2140,borgerhout,Apartment,2802.0833333333335,1.0,0,False
269000.0,3.0,119.0,-1,-1.0,-1,1,0,-1,-1,1974.0,-1,-1,-1.0,1.0,-1,-1.0,-1.0,-1,-1,217.0,-1.0,-1,-1,1,0,-1.0,-1.0,-1,1.0,-1.0,0,-1.0,-1.0,1.0,-1.0,apartment,2100,deurne,Apartment,2260.5042016806724,1.0,0,False
