municipality_upper,median_income,,coord,municipality
"AARTSELAAR","30.562","","51.1319 4.3827","Aartselaar"
"ANVERS","23.986","","51.2609 4.3695","Antwerp"
"BOECHOUT","30.579","","51.1605 4.5105","Boechout"
"BOOM","25.936","","51.0937 4.3731","Boom"
"BORSBEEK","26.591","","51.1915 4.488","Borsbeek"
"BRASSCHAAT","29.869","","51.31 4.4995","Brasschaat"
"BRECHT","30.339","","51.329 4.594","Brecht"
"EDEGEM","30.055","","51.159 4.4305","Edegem"
"ESSEN","28.732","","51.4485 4.4635","Essen"
"HEMIKSEM","28.673","","51.1455 4.3405","Hemiksem"
"HOVE","32.455","","51.1474 4.482","Hove"
"KALMTHOUT","30.452","","51.3988 4.4689","Kalmthout"
"KAPELLEN","31.018","","51.3339 4.4438","Kapellen"
"KONTICH","31.087","","51.1237 4.4445","Kontich"
"LINT","31.141","","51.129 4.511","Lint"
"MORTSEL","29.051","","51.1746 4.4612","Mortsel"
"NIEL","28.979","","51.1055 4.3395","Niel"
"RANST","30.592","","51.1927 4.5907","Ranst"
"RUMST","30.501","","51.0938 4.4214","Rumst"
"SCHELLE","29.692","","51.1226 4.3429","Schelle"
"SCHILDE","31.480","","51.2561 4.5814","Schilde"
"SCHOTEN","29.335","","51.2642 4.5083","Schoten"
"STABROEK","30.340","","51.327 4.3715","Stabroek"
"WIJNEGEM","28.909","","51.2296 4.5168","Wijnegem"
"WOMMELGEM","29.038","","51.205 4.522","Wommelgem"
"WUUSTWEZEL","29.468","","51.3855 4.5545","Wuustwezel"
"ZANDHOVEN","29.689","","51.2114 4.6793","Zandhoven"
"ZOERSEL","30.621","","51.2565 4.6455","Zoersel"
"ZWIJNDRECHT","28.031","","51.224 4.3235","Zwijndrecht"
"MALLE","29.321","","51.2934 4.7135","Malle"
"BERLAAR","28.875","","51.1072 4.6561","Berlaar"
"BONHEIDEN","31.765","","51.0185 4.569","Bonheiden"
"BORNEM","30.304","","51.0915 4.2055","Bornem"
"DUFFEL","29.422","","51.095 4.487","Duffel"
"HEIST-OP-DEN-BERG","29.221","","51.063 4.723","Heist-op-den-Berg"
"LIERRE","27.911","","51.1195 4.5745","Lier"
"MALINES","28.315","","51.0288 4.4503","Mechelen"
"NIJLEN","29.812","","51.1515 4.6855","Nijlen"
"PUTTE","30.027","","51.0506 4.6364","Putte"
"WAVRE-SAINTE-CATHERINE","30.654","","51.0625 4.5455","Sint-Katelijne-Waver"
"WILLEBROEK","27.404","","51.05 4.357","Willebroek"
"PUURS-SINT-AMANDS","30.699","","51.0645 4.2995","Puurs-Sint-Amands"
"ARENDONK","28.907","","51.3346 5.0854","Arendonk"
"BAERLE-DUC","26.918","","51.405 4.902","Baarle-Hertog"
"BALEN","29.103","","51.1586 5.1829","Balen"
"BEERSE","30.019","","51.3145 4.8231","Beerse"
"DESSEL","28.818","","51.2415 5.122","Dessel"
"GEEL","29.203","","51.166 4.972","Geel"
"GROBBENDONK","29.759","","51.1798 4.7391","Grobbendonk"
"HERENTALS","28.823","","51.1638 4.8276","Herentals"
"HERENTHOUT","28.920","","51.1391 4.7599","Herenthout"
"HERSELT","29.252","","51.0474 4.8829","Herselt"
"HOOGSTRATEN","29.005","","51.4405 4.7315","Hoogstraten"
"HULSHOUT","29.322","","51.0629 4.8123","Hulshout"
"KASTERLEE","30.016","","51.241 4.908","Kasterlee"
"LILLE","29.709","","51.253 4.834","Lille"
"MEERHOUT","29.093","","51.1246 5.0735","Meerhout"
"MERKSPLAS","29.583","","51.3704 4.8702","Merksplas"
"MOL","28.738","","51.2336 5.1527","Mol"
"OLEN","29.761","","51.1636 4.8854","Olen"
"OUD-TURNHOUT","29.366","","51.3208 5.0044","Oud-Turnhout"
"RAVELS","28.866","","51.4151 5.0261","Ravels"
