url,property_id,price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_type,kitchen_surface,water_softener,bathrooms,low_energy,solar_panels,heating_type,heat_pump,air_conditioning,alarm,parking_places_outdoor,garden_surface,garden_orientation,terrace_surface,terrace_orientation,land_surface,sewer_connection,running_water,rain_water_tank,primary_energy_consumption,co2,certification_electrical_installation,certification_gasoil_tank,planning_permission_granted,preemption_right,flooding_area_type,demarcated_flooding_area,surroundings_protected,opportunity_for_professional,availability,wash_room,parking_places_indoor,leased,living_room_surface,attic,glazing_type,elevator,entry_phone,security_door,access_disabled,apartement_floor,front_facade_orientation,number_floors,toilets,diningrooms,frontage_width,terrain_width_roadside,g_score,p_score,cadastral_income,vat,maintenance_cost
https://immovlan.be/en/detail/apartment/for-sale/2600/berchem/rbu69315,rbu69315,269000,1,51.0,None,None,0,1,0,None,None,1968,Yes,1,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,184.0,None,None,None,None,No,(information not available),(information not available),None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2050/antwerp/rbu69316,rbu69316,299000,2,79.0,Normal,2,0,1,0,None,None,2011,None,1,None,None,None,1,None,None,Electricity,None,None,None,None,None,None,5.0,None,None,None,Yes,None,100.0,None,"yes, certificate in accordance",None,None,Yes,no flooding area,(information not available),None,None,On contract,None,None,No,22.0,None,None,1,None,None,None,2,None,None,1,None,None,None,None,None,None,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu68996,rbu68996,359000,3,110.0,None,None,0,1,0,None,None,None,None,1,None,None,None,1,None,None,Gas,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,(information not available),(information not available),None,None,On contract,None,None,No,None,None,None,0,None,None,None,2,None,None,1,None,None,None,None,None,None,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbu69309,rbu69309,239000,2,84.0,Normal,2,0,1,0,None,None,1963,None,None,None,None,None,1,None,None,Gas,None,None,None,None,None,None,None,None,None,None,Yes,None,163.0,None,"No, certificate does not comply",None,None,Yes,None,(information not available),None,None,On contract,None,None,No,None,None,None,1,None,None,None,5,None,None,None,None,None,None,None,None,None,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu69307,rbu69307,189000,2,80.0,Normal,2,0,0,0,None,None,1930,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,149.0,None,"yes, certificate in accordance",None,None,No,no flooding area,(information not available),None,None,Negotiable,None,None,No,None,None,None,0,None,None,None,1,None,None,None,None,None,None,None,None,None,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbu68653,rbu68653,269000,2,96.0,Normal,None,0,1,0,None,None,1974,None,None,None,None,None,1,None,None,Gas,None,None,None,None,None,None,10.0,None,None,None,Yes,None,113.0,None,"yes, certificate in accordance",None,None,None,(information not available),(information not available),None,None,None,None,None,No,37.0,None,None,0,None,None,None,None,None,None,1,None,None,None,None,None,None,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu68691,rbu68691,224000,2,86.0,Normal,2,0,1,0,None,None,1977,None,None,None,None,None,1,None,None,Gas,None,None,None,None,None,None,None,None,None,None,Yes,None,155.0,None,"No, certificate does not comply",None,None,No,no flooding area,(information not available),None,None,Immediately,None,None,No,None,None,None,1,None,None,None,1,None,3,1,None,14 m,None,None,None,949,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbu68698,rbu68698,217000,2,78.0,Normal,2,0,1,0,None,None,2017,None,None,None,None,None,1,None,None,Gas,None,None,None,None,None,None,9.0,None,None,None,None,None,48.0,None,"yes, certificate in accordance",None,None,No,no flooding area,(information not available),None,None,Negotiable,None,None,No,None,None,None,1,None,None,None,None,None,None,1,None,6 m,None,None,None,None,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbu68652,rbu68652,269000,2,96.0,Normal,None,0,1,0,None,None,1974,None,None,None,None,None,1,None,None,Gas,None,None,None,None,None,None,10.0,None,None,None,Yes,None,113.0,None,"yes, certificate in accordance",None,None,None,(information not available),(information not available),None,None,None,None,None,No,37.0,None,None,0,None,None,None,None,None,None,1,None,None,None,None,None,None,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu68988,rbu68988,269000,3,119.0,None,None,None,1,0,None,None,1974,None,None,None,None,None,1,None,None,Not specified,None,No,No,None,None,None,None,None,None,None,None,None,217.0,None,None,None,None,None,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,1,None,None,No,None,None,None,1,None,None,None,None,None,None,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2600/berchem/rbu68366,rbu68366,229500,2,110.0,To be renovated,None,0,0,0,None,None,None,None,None,None,None,None,1,None,None,Gas,None,None,None,None,None,None,None,None,None,None,Yes,None,799.0,None,"yes, certificate in accordance",None,None,No,(information not available),(information not available),None,None,On contract,None,None,No,None,None,None,0,None,None,None,2,None,None,1,None,None,None,None,None,713,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu68364,rbu68364,335000,3,115.0,New,2,0,1,0,No,Super equipped,2025,None,None,None,None,None,2,None,Yes,None,None,None,None,None,None,None,8.0,0,None,Yes,Yes,None,None,None,"yes, certificate in accordance",None,No,No,no flooding area,(information not available),None,None,None,None,None,No,47.0,None,Double glass,0,Yes,None,No,2,None,2,2,None,10 m,10 m,None,None,None,None,None
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu68445,rbu68445,199000,2,80.0,Normal,2,0,1,0,None,None,1970,None,None,None,None,None,1,None,None,Gas,None,None,None,None,None,None,7.0,None,None,None,Yes,None,164.0,None,"No, certificate does not comply",None,None,No,None,(information not available),None,None,Negotiable,None,None,No,30.0,None,None,1,None,None,None,2,None,3,1,None,None,None,None,None,855,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu68137,rbu68137,299000,2,79.0,Excellent,2,0,1,0,None,None,2020,None,1,None,None,None,1,None,None,Gas,None,None,None,None,None,None,None,None,None,None,Yes,None,73.0,None,"yes, certificate in accordance",None,None,No,no flooding area,(information not available),None,None,On contract,None,None,No,None,None,None,1,None,None,None,1,None,None,1,None,None,None,None,None,None,: No,None
https://immovlan.be/en/detail/duplex/for-sale/2610/wilrijk/rbu68362,rbu68362,385000,4,130.0,New,2,0,1,1,No,Super equipped,2025,None,1,None,None,None,1,None,Yes,None,None,None,None,None,85.0,None,None,None,None,Yes,Yes,None,None,None,"yes, certificate in accordance",None,None,No,no flooding area,(information not available),None,None,None,None,None,No,43.0,None,Double glass,0,Yes,None,No,0,None,2,None,None,10 m,10 m,None,None,None,None,None
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rwc41189,rwc41189,410000,2,101.0,Excellent,None,None,None,None,None,None,2012,None,None,None,None,None,1,NO,No,Gas,No,No,None,None,None,None,None,None,None,None,None,None,95.0,None,None,None,None,None,(information not available),(information not available),None,None,None,None,None,None,None,None,Double glass,None,None,None,None,None,None,None,None,None,None,None,None,None,None,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu68444,rbu68444,215000,3,100.0,To be renovated,2,0,1,0,None,None,1963,None,1,None,None,None,1,None,None,Fuel oil,None,None,None,None,None,None,3.0,None,None,None,Yes,None,188.0,None,"No, certificate does not comply",None,None,No,no flooding area,(information not available),None,None,On contract,None,None,No,None,None,None,0,None,None,None,3,None,5,1,None,23 m,None,None,None,None,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu70146,rbu70146,179000,2,89.0,Normal,2,0,1,0,None,None,1967,None,1,None,None,None,1,None,None,Gas,None,None,None,None,None,None,None,None,None,None,Yes,None,178.0,None,"yes, certificate in accordance",None,None,No,no flooding area,(information not available),None,None,Immediately,None,None,No,None,None,None,0,None,None,None,2,None,None,1,None,7 m,None,None,None,894,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2050/antwerp/rbu70142,rbu70142,239000,2,82.0,Normal,2,0,1,0,None,None,1962,None,1,None,None,None,1,None,None,Fuel oil,None,None,None,None,None,None,None,None,None,None,Yes,None,187.0,None,"yes, certificate in accordance",None,None,No,no flooding area,(information not available),None,None,On contract,None,None,No,None,None,None,0,None,None,None,1,None,2,1,None,32 m,None,None,None,743,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbu70161,rbu70161,335000,2,100.0,None,2,None,1,0,None,None,None,None,None,None,12.0,None,1,None,None,None,None,None,None,None,None,None,11.0,None,None,None,Yes,None,166.0,None,None,None,None,None,(information not available),(information not available),None,None,None,None,None,No,None,None,Double glass,1,Yes,None,None,7,None,10,None,None,None,None,None,None,None,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2600/berchem/rbu68135,rbu68135,480000,3,126.0,Normal,2,None,1,0,None,Fully equipped,2006,None,1,Western kitchen,None,None,2,None,None,Gas,None,None,None,None,None,None,6.0,None,None,Yes,Yes,None,95.0,1616,"yes, certificate in accordance",None,No,Yes,no flooding area,(information not available),None,None,On contract,None,None,None,None,None,Double glass,1,Yes,Yes,None,2,None,5,2,None,None,None,None,None,1666,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rwc41082,rwc41082,389500,2,95.0,Excellent,None,None,1,None,None,None,None,None,None,None,None,None,None,YES,None,Not specified,None,None,None,None,None,None,20.0,None,None,None,None,None,None,None,None,None,None,None,(information not available),(information not available),None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,23,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/penthouse/for-sale/2000/antwerp/rwc41084,rwc41084,1950000,3,185.0,Excellent,None,None,1,None,None,None,None,None,None,None,None,None,None,YES,None,Not specified,None,None,None,None,None,None,75.0,None,None,None,None,None,None,None,None,None,None,None,(information not available),(information not available),None,None,None,None,None,None,None,None,None,None,None,None,None,23,None,23,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu68138,rbu68138,239000,2,90.0,Excellent,None,0,1,0,None,None,1968,None,1,None,None,None,1,None,None,Gas,None,None,None,None,None,None,4.0,None,None,None,Yes,None,230.0,None,"No, certificate does not comply",None,None,No,None,(information not available),None,None,Negotiable,None,None,No,25.0,None,None,1,None,None,None,4,None,4,1,None,None,None,None,None,934,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu68363,rbu68363,249000,1,62.0,New,2,0,1,0,No,Super equipped,2025,None,None,None,None,None,1,None,Yes,None,None,None,None,None,None,None,8.0,0,None,Yes,Yes,None,None,None,"yes, certificate in accordance",None,No,No,no flooding area,(information not available),None,None,None,None,None,No,27.0,None,Double glass,0,None,None,No,1,None,2,1,None,10 m,10 m,None,None,None,None,None
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu70077,rbu70077,229900,2,73.0,Normal,None,0,1,0,None,None,1958,None,1,None,None,None,1,None,None,Gas,None,None,None,None,None,None,4.0,None,None,None,None,None,286.0,None,"yes, certificate in accordance",None,None,None,(information not available),(information not available),None,None,On contract,None,None,No,35.0,None,None,0,None,None,None,2,None,2,1,None,None,None,None,None,622,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2020/antwerp/rbu70096,rbu70096,315000,2,91.0,None,None,None,1,0,None,None,1958,None,None,None,None,None,1,None,None,Not specified,None,No,No,None,None,None,40.0,None,None,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,Immediately,None,None,No,None,None,Double glass,1,None,None,No,0,None,5,1,None,None,None,None,None,None,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu70079,rbu70079,229900,2,73.0,Normal,None,0,1,0,None,None,1958,None,1,None,None,None,1,None,None,Gas,None,None,None,None,None,None,4.0,None,None,None,None,None,286.0,None,"yes, certificate in accordance",None,None,None,(information not available),(information not available),None,None,On contract,None,None,No,35.0,None,None,0,None,None,None,2,None,2,1,None,None,None,None,None,622,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu69996,rbu69996,259000,3,97.0,Normal,3,0,1,0,None,None,1963,None,None,None,None,None,1,None,None,Gas,None,None,None,None,None,None,3.0,None,None,None,Yes,None,198.0,None,"No, certificate does not comply",None,None,No,None,(information not available),None,None,On contract,None,None,No,None,None,None,1,None,None,None,2,None,3,1,None,7 m,None,None,None,944,: No,None
https://immovlan.be/en/detail/ground-floor/for-sale/2170/merksem/rbu69974,rbu69974,299000,2,100.0,Excellent,3,0,1,1,None,None,None,None,1,None,None,None,1,None,None,Gas,None,None,None,None,None,None,None,None,None,None,Yes,None,185.0,None,"yes, certificate in accordance",None,None,No,no flooding area,(information not available),None,None,On contract,None,None,No,None,None,None,1,None,None,None,None,None,None,1,None,13 m,None,None,None,None,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbu69969,rbu69969,235000,1,51.0,Normal,2,0,0,1,None,None,1975,None,None,None,None,None,1,None,None,Gas,None,None,None,None,483.0,None,None,None,None,None,Yes,None,247.0,None,"yes, certificate in accordance",None,None,No,no flooding area,(information not available),None,None,On contract,None,None,No,None,None,None,1,None,None,None,3,None,6,1,None,40 m,None,None,None,498,: No,None
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu69995,rbu69995,439000,2,83.0,Normal,3,0,1,0,None,None,2010,None,None,None,None,None,1,None,None,Gas,None,None,None,None,None,None,4.0,None,None,None,Yes,None,125.0,None,"yes, certificate in accordance",None,None,No,None,(information not available),None,None,On contract,None,None,No,None,None,None,1,None,None,None,10,None,22,1,None,None,None,None,None,None,: No,230
