postal_code;count;median_total_price;mean_total_price;median_price_per_m2;mean_price_per_m2;percent_luxurious;mun_name;province_num;province_name;region_num;region_name
1000;426;425000;613419;4054;4269;16;Brussel;10;Brussels;1;Brussels
1020;146;269500;344138;2881;2884;10;Brussel;10;Brussels;1;Brussels
1030;20;367000;541350;3220;3194;25;Schaarbeek;10;Brussels;1;Brussels
1040;22;425000;578772;4271;4484;27;Etterbeek;10;Brussels;1;Brussels
1040;22;425000;578772;4271;4484;27;Brussel;10;Brussels;1;Brussels
1050;74;675000;737513;4451;4487;27;Brussel;10;Brussels;1;Brussels
1050;74;675000;737513;4451;4487;27;Elsene;10;Brussels;1;Brussels
1060;13;315000;331384;4531;4647;0;Sint-Gillis;10;Brussels;1;Brussels
1070;22;299000;308268;2824;2848;0;Anderlecht;10;Brussels;1;Brussels
1080;24;257500;260125;2495;2594;0;Sint-Jans-Molenbeek;10;Brussels;1;Brussels
1081;9;249000;244444;2516;2656;0;Koekelberg;10;Brussels;1;Brussels
1082;6;327000;322666;3388;3272;0;Sint-Agatha-Berchem;10;Brussels;1;Brussels
1083;6;259500;290333;2742;2660;0;Ganshoren;10;Brussels;1;Brussels
1090;7;239000;291571;2975;2920;0;Jette;10;Brussels;1;Brussels
1120;60;332500;412439;2988;3035;15;Brussel;10;Brussels;1;Brussels
1130;10;500000;480700;2595;2610;10;Brussel;10;Brussels;1;Brussels
1140;11;275000;343000;3657;3624;0;Evere;10;Brussels;1;Brussels
1150;9;540000;620888;3878;3747;33;Sint-Pieters-Woluwe;10;Brussels;1;Brussels
1160;7;599000;506285;3571;4147;0;Oudergem;10;Brussels;1;Brussels
1170;2;925000;925000;4500;4500;50;Watermaal-Bosvoorde;10;Brussels;1;Brussels
1180;34;599000;703352;4464;4736;20;Ukkel;10;Brussels;1;Brussels
1190;13;260000;327223;3565;3561;7;Vorst;10;Brussels;1;Brussels
1200;26;485000;646980;4416;4961;23;Sint-Lambrechts-Woluwe;10;Brussels;1;Brussels
1210;4;310000;316000;3560;3401;0;Sint-Joost-ten-Node;10;Brussels;1;Brussels
1300;165;335000;384461;3075;3117;9;Waver;1;Walloon Brabant;2;Wallonia
1301;7;580000;624714;3829;3296;42;Waver;1;Walloon Brabant;2;Wallonia
1310;2;424500;424500;2989;2989;0;Terhulpen;1;Walloon Brabant;2;Wallonia
1320;2;412000;412000;2075;2075;50;Bevekom;1;Walloon Brabant;2;Wallonia
1325;1;895000;895000;4049;4049;100;Chaumont-Gistoux;1;Walloon Brabant;2;Wallonia
1330;2;905000;905000;3379;3379;50;Rixensart;1;Walloon Brabant;2;Wallonia
1332;1;179000;179000;2796;2796;0;Rixensart;1;Walloon Brabant;2;Wallonia
1341;1;395000;395000;3291;3291;0;Ottignies-Louvain-la-Neuve;1;Walloon Brabant;2;Wallonia
1342;1;850000;850000;2814;2814;100;Ottignies-Louvain-la-Neuve;1;Walloon Brabant;2;Wallonia
1348;1;450000;450000;4326;4326;0;Ottignies-Louvain-la-Neuve;1;Walloon Brabant;2;Wallonia
1350;2;644900;644900;2018;2018;50;Orp-Jauche;1;Walloon Brabant;2;Wallonia
1357;1;275000;275000;1033;1033;0;Helecine;1;Walloon Brabant;2;Wallonia
1370;2;545000;545000;2146;2146;50;Geldenaken;1;Walloon Brabant;2;Wallonia
1380;12;805000;905833;3504;3573;75;Lasne;1;Walloon Brabant;2;Wallonia
1390;1;425000;425000;3400;3400;0;Graven;1;Walloon Brabant;2;Wallonia
1400;4;257500;391250;2368;2572;25;Nijvel;1;Walloon Brabant;2;Wallonia
1410;6;512500;947333;3417;3391;33;Waterloo;1;Walloon Brabant;2;Wallonia
1420;9;454000;809666;3935;4056;33;Eigenbrakel;1;Walloon Brabant;2;Wallonia
1421;1;2950000;2950000;5983;5983;100;Eigenbrakel;1;Walloon Brabant;2;Wallonia
1430;3;239000;269666;1600;1767;0;Rebecq;1;Walloon Brabant;2;Wallonia
1440;2;342000;342000;2864;2864;0;Kasteelbrakel;1;Walloon Brabant;2;Wallonia
1460;3;235000;521333;2418;2992;33;Itter;1;Walloon Brabant;2;Wallonia
1461;1;179000;179000;2418;2418;0;Itter;1;Walloon Brabant;2;Wallonia
1470;5;345000;370000;2751;2392;0;Genappe;1;Walloon Brabant;2;Wallonia
1472;1;1295000;1295000;2670;2670;100;Genappe;1;Walloon Brabant;2;Wallonia
1480;3;271434;276357;2774;2918;0;Tubeke;1;Walloon Brabant;2;Wallonia
1490;2;269000;269000;3788;3788;0;Court-Saint-Etienne;1;Walloon Brabant;2;Wallonia
1495;1;280000;280000;2153;2153;0;Villers-la-Ville;1;Walloon Brabant;2;Wallonia
1500;82;349000;357342;2674;2640;7;Halle;3;Flemish Brabant;3;Flanders
1501;11;369000;394454;2570;2608;9;Halle;3;Flemish Brabant;3;Flanders
1502;13;295000;287846;2214;2252;7;Halle;3;Flemish Brabant;3;Flanders
1540;1;475000;475000;2083;2083;0;Pajottegem;3;Flemish Brabant;3;Flanders
1560;3;480000;416000;3266;3284;0;Hoeilaart;3;Flemish Brabant;3;Flanders
1600;62;449500;545125;2868;2743;19;Sint-Pieters-Leeuw;3;Flemish Brabant;3;Flanders
1601;15;435000;463333;2551;2600;13;Sint-Pieters-Leeuw;3;Flemish Brabant;3;Flanders
1602;9;445000;461777;2545;2702;33;Sint-Pieters-Leeuw;3;Flemish Brabant;3;Flanders
1640;6;845000;1033333;4107;3911;50;Sint-Genesius-Rode;3;Flemish Brabant;3;Flanders
1650;1;575000;575000;3833;3833;0;Beersel;3;Flemish Brabant;3;Flanders
1651;1;650000;650000;3611;3611;0;Beersel;3;Flemish Brabant;3;Flanders
1700;2;407000;407000;3462;3462;0;Dilbeek;3;Flemish Brabant;3;Flanders
1702;1;285000;285000;2244;2244;0;Dilbeek;3;Flemish Brabant;3;Flanders
1730;2;344000;344000;2113;2113;0;Asse;3;Flemish Brabant;3;Flanders
1731;3;290000;296333;2709;2830;0;Asse;3;Flemish Brabant;3;Flanders
1740;1;489000;489000;2080;2080;0;Ternat;3;Flemish Brabant;3;Flanders
1745;2;365000;365000;2765;2765;0;Opwijk;3;Flemish Brabant;3;Flanders
1750;2;337000;337000;3331;3331;0;Lennik;3;Flemish Brabant;3;Flanders
1760;1;479500;479500;4206;4206;0;Roosdaal;3;Flemish Brabant;3;Flanders
1761;1;479500;479500;4206;4206;0;Roosdaal;3;Flemish Brabant;3;Flanders
1770;1;325000;325000;2166;2166;0;Liedekerke;3;Flemish Brabant;3;Flanders
1780;3;595000;535000;3131;3157;0;Wemmel;3;Flemish Brabant;3;Flanders
1785;3;354000;346333;3640;3462;0;Merchtem;3;Flemish Brabant;3;Flanders
1790;2;325000;325000;1676;1676;0;Affligem;3;Flemish Brabant;3;Flanders
1800;69;379000;380150;2834;2815;4;Vilvoorde;3;Flemish Brabant;3;Flanders
1820;1;515000;515000;2575;2575;0;Steenokkerzeel;3;Flemish Brabant;3;Flanders
1830;3;299000;654333;4253;4376;33;Machelen;3;Flemish Brabant;3;Flanders
1840;1;695000;695000;2944;2944;0;Londerzeel;3;Flemish Brabant;3;Flanders
1850;31;450000;520465;2835;2616;19;Grimbergen;3;Flemish Brabant;3;Flanders
1851;6;669000;716333;3454;3350;33;Grimbergen;3;Flemish Brabant;3;Flanders
1853;30;292000;335513;2917;2955;3;Grimbergen;3;Flemish Brabant;3;Flanders
1860;2;589500;589500;2489;2489;50;Meise;3;Flemish Brabant;3;Flanders
1930;2;725000;725000;2786;2786;50;Zaventem;3;Flemish Brabant;3;Flanders
1932;1;275000;275000;3716;3716;0;Zaventem;3;Flemish Brabant;3;Flanders
1933;1;424000;424000;2465;2465;0;Zaventem;3;Flemish Brabant;3;Flanders
