province_num;count;median_total_price;mean_total_price;median_price_per_m2;mean_price_per_m2;province_name
1;242;350000;469111;3076;3123;Walloon Brabant
2;1361;310000;370911;2803;2973;Antwerp
3;506;395500;465481;2883;3045;Flemish Brabant
4;1418;220000;256568;1889;2015;Liege
5;361;300000;353285;2552;2640;Namur
6;35;339000;324229;2617;2478;Luxembourg
7;1725;209000;271626;1508;1663;Hainaut
8;1141;325000;437874;2908;3696;West Flanders
9;1756;369000;404420;2652;2827;East Flanders
9;1756;369000;404420;2652;2827;Limburg
10;951;385000;531557;3615;3858;Brussels
