Postal Code;Special code;Submunicipality code;R?gion code;Province code;Arrondissement code;Municipality code;ISO 3166-3 Area code;Official language or language combination;Sub-municipality name (French);Sub-municipality name (Dutch);Sub-municipality name (German);R?gion name (German);R?gion name (Dutch);R?gion name (French);Province name (German);Province name (Dutch);Province name (French);Arrondissement name (German);Arrondissement name (Dutch);Arrondissement name (French);Municipality name (German);Municipality name (Dutch);Municipality name (French);sub_municipaliti_name_maj
1000;0;21014A;1000;;21000;21014;BEL;NL-FR;Saint-Josse-ten-Noode;Sint-Joost-ten-Node;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Sint-Joost-ten-Node;Saint-Josse-ten-Noode;SAINT-JOSSE-TEN-NOODE
1000;0;21004-Z;1000;;21000;21004;BEL;NL-FR;Bruxelles;Brussel;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Brussel;Bruxelles;BRUXELLES
1000;0;21009A;1000;;21000;21009;BEL;NL-FR;Ixelles;Elsene;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Elsene;Ixelles;IXELLES
1005;1;21004-Z;1000;;21000;21004;BEL;NL-FR;Bruxelles;Brussel;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Brussel;Bruxelles;BRUXELLES
1006;1;21004-Z;1000;;21000;21004;BEL;NL-FR;Bruxelles;Brussel;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Brussel;Bruxelles;BRUXELLES
1007;1;21004-Z;1000;;21000;21004;BEL;NL-FR;Bruxelles;Brussel;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Brussel;Bruxelles;BRUXELLES
1008;1;21004-Z;1000;;21000;21004;BEL;NL-FR;Bruxelles;Brussel;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Brussel;Bruxelles;BRUXELLES
1009;1;21004-Z;1000;;21000;21004;BEL;NL-FR;Bruxelles;Brussel;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Brussel;Bruxelles;BRUXELLES
1011;1;21004-Z;1000;;21000;21004;BEL;NL-FR;Bruxelles;Brussel;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Brussel;Bruxelles;BRUXELLES
1012;1;21004-Z;1000;;21000;21004;BEL;NL-FR;Bruxelles;Brussel;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Brussel;Bruxelles;BRUXELLES
1020;0;21004-Z;1000;;21000;21004;BEL;NL-FR;Bruxelles;Brussel;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Brussel;Bruxelles;BRUXELLES
1030;0;21015A;1000;;21000;21015;BEL;NL-FR;Schaerbeek;Schaarbeek;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Schaarbeek;Schaerbeek;SCHAERBEEK
